Name,Url,Ratings,Reviews,Price
Mokobara The Transit Backpack Laptop Bag for Men and Women ,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09980192KXA2PDWFYC7J&url=%2FMokobara-Transit-Backpack-Laptop-Private%2Fdp%2FB09V7G6CTW%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1658599044%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26psc%3D1%26smid%3DA2ZJIE4OXD710M&qualifier=1658599044&id=4006992023304416&widgetName=sp_atf,4.1 out of 5 stars,82,"₹5,590"
"Mokobara Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model) ",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01666031UDKFT7UL670E&url=%2FMokobara-Backpack-Laptop-Pretzel-Limited%2Fdp%2FB09WVH41X9%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1658599044%26smid%3DA2ZJIE4OXD710M%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26psc%3D1%26smid%3DA2ZJIE4OXD710M&qualifier=1658599044&id=4006992023304416&widgetName=sp_atf,4.1 out of 5 stars,74,"₹4,490"
American Tourister Casual Backpack ,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1658599044&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=8-3,3.9 out of 5 stars,"42,643","₹1,099"
Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy) ,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_omk_4?crid=2M096C61O4MLT&keywords=bags&qid=1658599044&sprefix=ba%2Caps%2C283&sr=8-4,3.9 out of 5 stars,"11,189",₹729
"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag , office bag , college bag ( LEGEND ) ",https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1658599044&sprefix=ba%2Caps%2C283&sr=8-5,4.2 out of 5 stars,482,₹699
Dyazo 13.3 inch Laptop Bag Sleeve Sleeve Bag Cover for 13 inch Apple Mac Book Air Pro Retina 13 13.3 inch MacBook 13.3 inch and All Other laptops & Notebooks with Front Packet and Handle (Grey) ,https://www.amazon.in/Dyazo-13-3-MacBook-laptops-Notebooks/dp/B09X643Z2W/ref=sxin_13_trfobq2a_0_B09X643Z2W?content-id=amzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868%3Aamzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09X643Z2W&pd_rd_r=28ebc6ab-1aff-4380-ab6a-eeb38af19f48&pd_rd_w=m5P7X&pd_rd_wg=5E5FK&pf_rd_p=44400834-8e6b-47a8-9801-f597f2a98868&pf_rd_r=KB2ZMQXDMDSA1AEZ74G5&qid=1658599044&sprefix=ba%2Caps%2C283&sr=1-1-b004551b-c118-419d-8e9d-9986d39b90c2,4.1 out of 5 stars,129,₹339
"Amazon Brand - Solimo 5-Piece Tote Diaper Bag, Green ",https://www.amazon.in/Amazon-Brand-Solimo-5-Piece-Diaper/dp/B08FTH4GKR/ref=sxin_13_trfobq2a_1_B08FTH4GKR?content-id=amzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868%3Aamzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08FTH4GKR&pd_rd_r=28ebc6ab-1aff-4380-ab6a-eeb38af19f48&pd_rd_w=m5P7X&pd_rd_wg=5E5FK&pf_rd_p=44400834-8e6b-47a8-9801-f597f2a98868&pf_rd_r=KB2ZMQXDMDSA1AEZ74G5&qid=1658599044&sprefix=ba%2Caps%2C283&sr=1-2-b004551b-c118-419d-8e9d-9986d39b90c2,4.2 out of 5 stars,51,"₹1,079"
Amazon Brand - Eden & Ivy Aw-19 Women's Sling bag ,https://www.amazon.in/Amazon-Brand-Aw-19-Womens-Sling/dp/B07XH3TFVK/ref=sxin_13_trfobq2a_2_B07XH3TFVK?content-id=amzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868%3Aamzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07XH3TFVK&pd_rd_r=28ebc6ab-1aff-4380-ab6a-eeb38af19f48&pd_rd_w=m5P7X&pd_rd_wg=5E5FK&pf_rd_p=44400834-8e6b-47a8-9801-f597f2a98868&pf_rd_r=KB2ZMQXDMDSA1AEZ74G5&qid=1658599044&smid=A1WYWER0W24N8S&sprefix=ba%2Caps%2C283&sr=1-3-b004551b-c118-419d-8e9d-9986d39b90c2,4.0 out of 5 stars,187,₹749
AmazonBasics Set of 3 (55 cm + 68 Cm + 78 Cm) Black Hardsided Trolley ,https://www.amazon.in/AmazonBasics-Hardside-Suitcase-Wheels-Black/dp/B0713ZQ4DQ/ref=sxin_13_trfobq2a_3_B0713ZQ4DQ?content-id=amzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868%3Aamzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0713ZQ4DQ&pd_rd_r=28ebc6ab-1aff-4380-ab6a-eeb38af19f48&pd_rd_w=m5P7X&pd_rd_wg=5E5FK&pf_rd_p=44400834-8e6b-47a8-9801-f597f2a98868&pf_rd_r=KB2ZMQXDMDSA1AEZ74G5&qid=1658599044&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=1-4-b004551b-c118-419d-8e9d-9986d39b90c2,4.2 out of 5 stars,"1,263","₹11,389"
"AmazonBasics 7-Piece Bed-in-A-Bag - Full/Queen, Purple Mod Dot (Includes 1 bedsheet, 1 Comforter, 4 Pillowcases, 1 Fitted Sheet) ",https://www.amazon.in/AmazonBasics-7-Piece-Bed-Bag-Pillowcases/dp/B00U2WG6CW/ref=sxin_13_trfobq2a_4_B00U2WG6CW?content-id=amzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868%3Aamzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B00U2WG6CW&pd_rd_r=28ebc6ab-1aff-4380-ab6a-eeb38af19f48&pd_rd_w=m5P7X&pd_rd_wg=5E5FK&pf_rd_p=44400834-8e6b-47a8-9801-f597f2a98868&pf_rd_r=KB2ZMQXDMDSA1AEZ74G5&qid=1658599044&sprefix=ba%2Caps%2C283&sr=1-5-b004551b-c118-419d-8e9d-9986d39b90c2,4.1 out of 5 stars,"1,075","₹3,429"
